Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,NH3,PM 2.5,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Adilabad Rural,23-01-2023,-2.505230362,11.70177052,,31.14750723,88.72643565,0.006348677,5.3941846,11.18381669,29.68661219,61.83379587,38.27890986,21.17737179,-133.2689312,-4.991368193,-0.258058224,-57.92920973,3.590282858,0.216541624,0.06713258,
Adilabad Rural,24-01-2023,-2.49760722,10.28308537,,37.21096376,92.71309088,0.006347985,6.816642376,11.18379106,29.67945774,61.82139092,38.27405345,21.17928215,-134.0127597,-4.227778129,-0.05710921,-55.38997338,3.183486711,0.216672709,0.067133572,
Adilabad Rural,25-01-2023,-2.489100203,8.424945516,,38.2625497,92.14160609,0.066352039,6.676726143,11.18301199,29.67285411,61.8052485,38.26960549,21.17992535,-131.6887584,-7.048055903,-0.256196859,-53.40501765,1.376834266,0.016703267,0.067134258,
Adilabad Rural,26-01-2023,-2.48757029,8.567311556,,37.61781394,91.21111285,0.006361906,3.392359708,11.1818561,29.6669567,61.78956111,38.2656272,21.18036109,-134.7912063,-6.688378139,-0.455135443,-56.01739122,2.371197479,0.016743112,0.067134803,
Adilabad Rural,27-01-2023,-2.489844731,8.748938281,,41.51768293,89.72875104,0.266355176,4.981149788,11.18062364,29.66014612,61.77298923,38.2599609,21.18124986,-129.724186,-1.304873002,-0.454294591,-46.73289413,4.765440124,0.016787731,0.067135382,
Adilabad Rural,28-01-2023,-2.494824514,7.870823947,,40.58166302,86.86112342,0.226355713,5.657816251,11.17930761,29.65308195,61.755996,38.25281687,21.18290757,-123.884297,-0.318034928,-0.453331622,-40.67813081,6.558599183,0.01684588,0.067135483,
Adilabad Rural,29-01-2023,-2.500922532,5.749946432,,36.93954338,91.88763977,0.006361438,3.933895029,11.17829973,29.64545497,61.73898758,38.24653897,21.1855347,-130.5091629,-0.716685692,-0.45245648,-47.68196245,6.950307166,0.016878028,0.067135937,
Adilabad Rural,30-01-2023,-2.507721566,5.869611741,,34.79167285,87.12682091,0.306356642,10.07398269,11.17719861,29.63768269,61.723299,38.24051909,21.18839192,-150.7134636,-6.318015828,-0.451538388,-68.29630325,3.343307163,0.016936849,0.067136398,
Adilabad Rural,31-01-2023,-2.514606944,6.470419616,,28.21630712,79.74162706,0.226356854,2.435350267,11.13634611,29.43087413,62.50617407,38.23506246,21.19170825,-153.3350661,-9.698876364,-0.450644938,-72.71734882,1.534708428,0.016979095,0.067136851,
Adilabad Rural,01-02-2023,-2.522123579,7.210839936,,26.34421855,82.32347553,0.146355831,17.27095821,11.15563508,29.36325162,62.4910819,39.0297885,21.79518327,-143.8826918,-8.280130644,-0.44986144,-62.75267525,2.727007839,0.017088647,0.067137425,
Adilabad Rural,02-02-2023,-2.532684392,7.012103057,,27.80776019,83.76266561,0.226352053,16.62662167,11.15518855,29.35699724,62.47592879,39.02311954,21.79769417,-133.470246,-8.471526282,-0.44895643,-50.54142941,1.921474734,0.017168987,0.067138068,
Adilabad Rural,03-02-2023,-2.547898636,8.632288538,,24.65258725,82.20806005,0.34633981,15.34581506,11.15505742,29.35148056,62.46244164,39.0171731,21.80015404,-144.3736244,-8.839247263,-0.448107943,-62.41018086,3.917397637,0.017201772,0.067138727,
Adilabad Rural,04-02-2023,-2.572462474,10.0534506,,24.78647289,77.84654648,1.686357404,17.29572969,11.15507652,29.34681209,62.45081107,39.01003436,21.80267512,-137.341769,-4.995667784,-0.447195025,-53.61648495,5.711806121,0.217222436,0.06713965,
Adilabad Rural,05-02-2023,-2.614695166,8.454157364,,26.93583752,81.51596936,0.006343379,16.13206976,11.15528915,29.34339446,62.43671212,39.00140226,21.80579284,-141.7781442,-3.591722703,-0.44631072,-54.09082658,3.707998271,0.417235351,0.067140715,
